fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,02,ANDHRA PRADESH,0202,VIZIANAGARAM,14131962,230.774904803702,46,7322,7132.507575345,10910,1,37605,14240311,1618392,74650,412015,18061,1614.87146,41610.4431893461,304623,455369,351677,642730,8696,387431,692718,48515,32863.0641540011,9698540,48,6.7,83.74,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0204,EAST GODAVARI,4024486,253.758505532467,44,1878,4673.151842761,7643,0,21302,4235542,1581624,71363,87641,3211,589.07783,16010.277753161,94277,123898,123963,197874,4220,165386,254839,28945,10748.0480804,2323807,54,44.27,32.61,100,NA
2024-2025,Dec,02,ANDHRA PRADESH,0219,BAPATLA,5907737,266.241752666017,34,2102,3589.480400145,10582,2,30836,5642969,1987943,139268,217098,14842,612.7453,19226.165268145,164317,279503,211537,391367,1600,266718,469977,41418,15023.939568,3060206,25,69.72,18.94,99.98,NA
2024-2025,Dec,02,ANDHRA PRADESH,0221,NANDYAL,5462156,245.604583290795,36,1891,5966.499121807,10333,2,37241,5642112,1578328,111722,260321,13429,894.65303,20718.437818207,156327,262437,209703,401714,3388,263564,491078,47574,13857.2856664,3342182,47,55.3,24.72,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0226,KAKINADA,5172632,248.4254126914,37,3193,3733.421607548,9152,0,26403,5762514,1639040,93914,154882,8588,635.03162,18684.0024134477,152787,214800,207359,351610,3355,288034,469728,35555,14315.5491858997,2852969,51,49.03,31.88,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0205,WEST GODAVARI,3568020,268.53564752834,32,1298,3949.529765564,6460,4,24201,3208570,933280,63560,27932,1767,543.89038,13109.574371464,97728,140099,135938,232631,1695,180258,295605,30661,8616.15422590005,1783393,46,74.63,3.3,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0206,KRISHNA,6263748,261.241824318286,43,2148,5870.664091079,24897,0,27625,6122265,2308376,119932,105546,5576,1071.30532,22935.8861866789,141516,242109,175797,323198,8115,215768,380566,52522,15993.9167755999,3311868,31,71.35,5.73,99.99,NA
2024-2025,Dec,02,ANDHRA PRADESH,0212,ANANTAPUR,8375862,262.872288822662,44,3833,9862.011816116,8669,0,43546,8684921,1548901,94479,337635,17319,1548.95734,34241.219771256,195080,332133,257002,481252,9334,314650,582460,52215,22830.25061514,4830946,51,33.75,48.72,99.97,NA
2024-2025,Dec,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,11248066,260.032624254791,63,4120,30414.295312594,13453,2,61223,13092977,251006,9926,12065863,408994,1085.78479,65546.0917887701,205501,366630,228510,447409,39441,245732,472216,74676,34046.0116861761,6858205,80,55.58,15.65,99.99,NA
2024-2025,Nov,02,ANDHRA PRADESH,0211,Y.S.R,6574989,259.869965897818,45,2179,7437.308833498,8490,4,35281,6376718,1334103,79336,90931,5397,1458.95484,25467.438565498,141604,223421,190973,354478,4719,240913,441210,43771,16571.174892,4081589,45,33.16,59.1,99.99,NA
